SN,longitude,latitude,Species,Field  Validation status,Associated species,Deep Learning status,
187,84.07003,28.05509,Chromoleana,Absent,,Absent,
188,84.07003,28.05515,Lantana,Present,"bidens,imperata",Absent,
189,84.07023,28.05398,parthenium,Absent,pure patch,Present,
190,84.06806,28.05737,Lantana,Present,sissoo,Present,
191,84.06821,28.05743,Lantana,Present,,Present,
192,84.06832,28.05763,Lantana,Present,,Present,
193,84.06777,28.05775,Lantana,Present,,Present,
194,84.06802,28.05721,Parthenium,Absent,,Absent,
195,84.06469,28.05964,absent,Absent,grassland,Absent,
196,84.06106,28.06362,Lantana,Present,"Arali,Ficus,bidens",Absent,
197,84.06114,28.06351,Lantana,Present,,Absent,
198,84.06104,28.06331,Lantana,Present,,Present,
199,84.06103,28.06325,Lantana,Present,,Present,
200,84.06127,28.06569,Lantana,Present,"sisso,acacia,dhurselo,curry leaf",Present,
201,84.06094,28.06551,Lantana,Present,"sisso,acacia,dhurselo,curry leaf",Present,
202,84.06101,28.06544,Lantana,Present,"sisso,acacia,dhurselo,curry leaf",Present,
203,84.06162,28.06507,absent,Absent,,Present,
204,84.06159,28.06516,absent,Absent,,Present,
205,84.06159,28.06517,Lantana,Present,,Present,
206,84.06207,28.06653,Chromoleana,Present,"grasses,artemesia,bidens,curry leaf, Lantana",Present,
207,84.06197,28.06634,Lantana,Present,,Present,
208,84.07231,28.07242,Ipomea,Absent,artemesia,Absent,
209,84.0722,28.07293,Ipomea,Absent,"bidens,artemesis,grasses",Absent,
210,84.07223,28.07294,Ipomea,Absent,,Absent,
211,84.07125,28.07466,Lantana,Present,"Imperata,Saccharum,Bidens",Absent,
212,84.07114,28.0745,Lantana,Present,"Sisso,Artemesia,Bidens,Chromolena",Absent,
213,84.07097,28.0745,absent,Absent,Grassland,Absent,
214,84.07444,28.08016,Lantana,Present,Pure patch,Present,
215,84.07465,28.08044,Lantana,Present,,Present,
216,84.07702,28.08254,Parthenium/Lantana,Present,Acacia,Present,
217,84.07688,28.0824,Lantana,Present,Pure patch,Present,
218,84.07682,28.08238,Lantana,Present,Pure patch,Present,
219,84.07947,28.08559,Lantana,Present,Pure patch,Present,
220,84.07952,28.08555,Lantana,Present,Pure patch,Present,
221,84.0795,28.08549,Lantana,Present,Pure patch,Present,
222,84.07949,28.08533,Lantana,Present,Pure patch,Present,
223,84.07947,28.08529,Lantana,Present,Pure patch,Present,
224,84.07936,28.08464,Lantana,Present,"Imperata,Artemisia",Present,
225,84.07901,28.08412,Lantana,Present,"ageratina,chromoleana",Present,
,,,,,,,
,,,,,,,
,,,,,,,
